sku;productId;name;shortName;manufacturer;productDetailsLink;imageSrc;imageAlt;price;priceFormatted;category;colorFamily
000530139360;530139;Schnürschuh in klassischer Optik;Schnürschuh;MONA;/p/mona-schnuerschuh-klassischer-optik-530139?sku=530139360;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/7f545253d8b59d1a7850a3d59da8ea87/mona-schnuerschuh-klassischer-optik-530139.jpg;Schnürschuh in klassischer Optik;69.99;69,99 €;Schuhe;Schwarz
000474948000;768735;Umhängetasche mit edlem Verschluss;Umhängetasche;MONA;/p/mona-umhaengetasche-edlem-verschluss-768735?sku=474948000;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/1310043bde1436aa2b6410c33dd9afd2/mona-umhaengetasche-edlem-verschluss-768735.jpg;Umhängetasche mit edlem Verschluss;99.99;99,99 €;Accessoires;Schwarz
000462588200;632703;5-Pocket-Hose in Leder-Optik;5-Pocket-Hose;Toni;/p/toni-5-pocket-hose-leder-optik-632703?sku=462588200;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/b7fd0b49904121ba117f467173e1d85d/toni-5-pocket-hose-leder-optik-632703.jpg;5-Pocket-Hose in Leder-Optik;89.95;ab 89,95 €;Hosen;Schwarz
000844645380;844645;Hose Mit toniger Ziersteppung;Hose;MONA;/p/mona-hose-toniger-ziersteppung-844645?sku=844645380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/ce9eacf5fd9cf5bf72d5664327e96f2c/mona-hose-toniger-ziersteppung-844645.jpg;Hose Mit toniger Ziersteppung;39.99;ab 39,99 €;Hosen;Blau
000153138380;345249;Pullover in Traumhaft-Qualität;Pullover;MONA;/p/mona-pullover-traumhaft-qualitaet-345249?sku=153138380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/e36222a0219a4b08467825358897e06c/mona-pullover-traumhaft-qualitaet-345249.jpg;Pullover in Traumhaft-Qualität;49.99;ab 49,99 €;Oberteile;Weiß
000871459380;768069;Bluse mit Baumwolle;Bluse;MONA;/p/mona-bluse-baumwolle-768069?sku=871459380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/92f10d21ab3e73a2d1af88648095c697/mona-bluse-baumwolle-768069.jpg;Bluse mit Baumwolle;39.99;ab 39,99 €;Oberteile;Schwarz
000790014000;790014;Shopper mit dekorativem Zierelement;Shopper;Ara;/p/ara-shopper-dekorativem-zierelement-790014?sku=790014000;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/b5f0d043c07af37730cb2dbc0f74ce98/ara-shopper-dekorativem-zierelement-790014.jpg;Shopper mit dekorativem Zierelement;49.99;49,99 €;Accessoires;Schwarz
000681468380;681468;Pullover aus Rippenstuktur;Pullover;MONA;/p/mona-pullover-rippenstuktur-681468?sku=681468380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/436a893445d6f921052ed978f017dbc9/mona-pullover-rippenstuktur-681468.jpg;Pullover aus Rippenstuktur;59.99;ab 59,99 €;Oberteile;Rot
000206607032;206607;Schnürschuh mit Shockabsorber;Schnürschuh;;/p/schnuerschuh-shockabsorber-206607?sku=206607032;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/462a765dd8a9c8a227c6dac7397a4161/schnuerschuh-shockabsorber-206607.jpg;Schnürschuh mit Shockabsorber;139.99;139,99 €;Schuhe;Schwarz
000546663000;546663;Ohrstecker mit imit. Perlen;Ohrstecker mit imit. Perlen;;/p/ohrstecker-imit-perlen-546663?sku=546663000;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/5e42cb7e173aa37c2da0174c4960753e/ohrstecker-imit-perlen-546663.jpg;Ohrstecker mit imit. Perlen;17.99;17,99 €;accessoires;Grau
000925818200;925818;Jerseyhose in Schlupfform;Jerseyhose;Relaxed by Toni;/p/relaxed-by-toni-jerseyhose-schlupfform-925818?sku=925818200;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/3c07832c022e173ba61eafcaa0a13ed5/relaxed-by-toni-jerseyhose-schlupfform-925818.jpg;Jerseyhose in Schlupfform;79.95;ab 79,95 €;Hosen;Schwarz
000739878190;739878;Chino-Hose in sommerlicher Baumwollmischung;Chino-Hose;Toni;/p/toni-chino-hose-sommerlicher-baumwollmischung-739878?sku=739878190;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/16c667f69659325bee67d9cfed4dcb50/toni-chino-hose-sommerlicher-baumwollmischung-739878.jpg;Chino-Hose in sommerlicher Baumwollmischung;79.95;ab 79,95 €;Hosen;Weiß
000042968000;262673;Baske aus reiner Wolle;Baske;Seeberger;/p/seeberger-baske-reiner-wolle-262673?sku=042968000;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/7c0fadda6ce3c55d844e224c6cff2ba0/seeberger-baske-reiner-wolle-262673.jpg;Baske aus reiner Wolle;19.95;19,95 €;Accessoires;Rot
000759926380;062966;7/8 Hose mit Baumwolle Basic;7/8 Hose;MONA;/p/mona-7-8-hose-baumwolle-basic-062966?sku=759926380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/01229d4b5102659b78badb7da5805637/mona-7-8-hose-baumwolle-basic-062966.jpg;7/8 Hose mit Baumwolle Basic;44.99;ab 44,99 €;Hosen;Weiß
000531838000;703512;Nickituch;Nickituch;MONA;/p/mona-nickituch-703512?sku=531838000;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/6decc7e25bbaf81bef048b15930775a3/mona-nickituch-703512.jpg;Nickituch;9.99;9,99 €;Accessoires;Rot
000290788380;714258;Pullover mit Rippen-Struktur;Pullover;MONA;/p/mona-pullover-rippen-struktur-714258?sku=290788380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/f49ee5d450e0df05035e7c6e78f4a130/mona-pullover-rippen-struktur-714258.jpg;Pullover mit Rippen-Struktur;59.99;59,99 €;Oberteile;Lila
000290556380;714258;Pullover mit Rippen-Struktur;Pullover;MONA;/p/mona-pullover-rippen-struktur-714258?sku=290556380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/cc07408d6886def371148e7c2432f968/mona-pullover-rippen-struktur-714258.jpg;Pullover mit Rippen-Struktur;39.99;39,99 €;Oberteile;Blau
000495114380;714258;Pullover mit Rippen-Struktur;Pullover;MONA;/p/mona-pullover-rippen-struktur-714258?sku=495114380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/6d12c39f85b35d59c85270d856379e9d/mona-pullover-rippen-struktur-714258.jpg;Pullover mit Rippen-Struktur;39.99;39,99 €;Oberteile;Gelb
000952968380;846442;Hose mit Wool-Touch-Griff;Hose;MONA;/p/mona-hose-wool-touch-griff-846442?sku=952968380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/1e16ed100187dc1ffbef1aab17600d68/mona-hose-wool-touch-griff-846442.jpg;Hose mit Wool-Touch-Griff;49.99;ab 49,99 €;Hosen;Braun
000196535075;196535;Ledergürtel mit geprägter Schließe;Ledergürtel mit geprägter Schließe;MONA;/p/mona-lederguertel-gepraegter-schliesse-196535?sku=196535075;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/7cf5d5a9ad55ba9321edfd99ad543805/mona-lederguertel-gepraegter-schliesse-196535.jpg;Ledergürtel mit geprägter Schließe;49.99;49,99 €;Accessoires;Schwarz
000593869380;593869;Shirtjacke mit Glencheck- Muster;Shirtjacke;MONA;/p/mona-shirtjacke-glencheck-muster-593869?sku=593869380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/43a6ff8aa20ecfb8f04847a8e02715c0/mona-shirtjacke-glencheck-muster-593869.jpg;Shirtjacke mit Glencheck- Muster;59.99;ab 59,99 €;Oberteile;Grau
000188649380;188649;Jerseyhose aus Glencheckkaro;Jerseyhose;MONA;/p/mona-jerseyhose-glencheckkaro-188649?sku=188649380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/2fad7e5f9c2229d3a33bdf9320af9e23/mona-jerseyhose-glencheckkaro-188649.jpg;Jerseyhose aus Glencheckkaro;69.99;ab 69,99 €;accessoires;Grau
000082204380;082204;Legerjacke in Leder-Optik;Legerjacke;MONA;/p/mona-legerjacke-leder-optik-082204?sku=082204380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/e2a3ebe5376d3957b655315e8bdb6af8/mona-legerjacke-leder-optik-082204.jpg;Legerjacke in Leder-Optik;44.99;ab 44,99 €;Oberteile;Schwarz
000013381400;931881;Hose mit seitlichem Zierband;Hose;MONA;/p/mona-hose-seitlichem-zierband-931881?sku=013381400;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/50dfcfd278e9201c2a6a88b5272c09c1/mona-hose-seitlichem-zierband-931881.jpg;Hose mit seitlichem Zierband;79.99;ab 79,99 €;Hosen;Grau
000507358000;243899;Handtasche 2-tlg mit Krokoprägung 2-teilig;Handtasche 2-tlg;MONA;/p/mona-handtasche-2-tlg-krokopraegung-2-teilig-243899?sku=507358000;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/430d86298f04c5e9f507e35b77c47fca/mona-handtasche-2-tlg-krokopraegung-2-teilig-243899.jpg;Handtasche 2-tlg mit Krokoprägung 2-teilig;179.99;179,99 €;Accessoires;Rot
000653725380;653725;Jogpant mit Strass-Applikation;Jogpant;MONA;/p/mona-jogpant-strass-applikation-653725?sku=653725380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/6291405811d0860bc236c0966355a6a7/mona-jogpant-strass-applikation-653725.jpg;Jogpant mit Strass-Applikation;49.99;49,99 €;Hosen;Braun
000805067000;805067;Damenuhr;Damenuhr;Meister Anker;/p/meister-anker-damenuhr-805067?sku=805067000;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/4ec2f2c6d7435233e3a41dc4bc094794/meister-anker-damenuhr-805067.jpg;Damenuhr;59.99;59,99 €;Accessoires;Grau
000898581380;898581;Shirt mit metallic Pepita-Druck;Shirt;MONA;/p/mona-shirt-metallic-pepita-druck-898581?sku=898581380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/3dcf1587e57a0b3cfb3e56d4d008e06d/mona-shirt-metallic-pepita-druck-898581.jpg;Shirt mit metallic Pepita-Druck;39.99;ab 39,99 €;Oberteile;Schwarz
000835700380;835700;Steppjacke mit schmälernder Längssteppung;Steppjacke;MONA;/p/mona-steppjacke-schmaelernder-laengssteppung-835700?sku=835700380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/241d549cd160b3f7b011160457d749ca/mona-steppjacke-schmaelernder-laengssteppung-835700.jpg;Steppjacke mit schmälernder Längssteppung;99.99;ab 99,99 €;Oberteile;Blau
000780641032;534529;Schnürschuh;Schnürschuh;Waldläufer;/p/waldlaeufer-schnuerschuh-534529?sku=780641032;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/3e42cd434052f3bd2d72f38a8e7ab155/waldlaeufer-schnuerschuh-534529.jpg;Schnürschuh;119.00;119,00 €;Schuhe;Blau
000703056200;703056;Kurzmantel;Kurzmantel;MONA;/p/mona-kurzmantel-703056?sku=703056200;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/2bdbfd50d3e812d0b05dd55f1cddb35e/mona-kurzmantel-703056.jpg;Kurzmantel;189.99;ab 189,99 €;Oberteile;Gelb
000518287380;653725;Jogpant mit Strass-Applikation;Jogpant;MONA;/p/mona-jogpant-strass-applikation-653725?sku=518287380;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/a3b9262c4e9bc725a66af3b3a5b3840e/mona-jogpant-strass-applikation-653725.jpg;Jogpant mit Strass-Applikation;59.99;59,99 €;Hosen;Schwarz
000563872032;252526;Schnürschuh;Schnürschuh;Semler;/p/semler-schnuerschuh-252526?sku=563872032;https://ct-res.cloudinary.com/images/f_auto,q_auto:good,w_500/images/dc4ce954099ff9baf2c8790d4bf6c11b/semler-schnuerschuh-252526.jpg;Schnürschuh;119.00;119,00 €;Schuhe;Braun
